"Baseball Team Name","Affiliate: Baseball Team Name","Capacity","Conference","Division","Established","League","Photo","Photo Color","Stadium Address","Stadium Location (Latitude)","Stadium Location (Longitude)","Stadium"
"Hartford Yard Goats","Colorado Rockies","6121","Eastern League","Eastern","2016","AA","Rockies/YardGoats-Logo.jpg","#1e386c","1214 Main St, Hartford, CT 06103","41.772","-72.674","Dunkin' Donuts Park"
"Hickory Crawdads","Texas Rangers","5283","South Atlantic League","Northern","1993","A","Rangers/Crawdads-Logo.png","#ec0928","2500 Clement Blvd NW, Hickory, NC 28601","35.749","-81.379","L. P. Frans Stadium"
"Hillsboro Hops","Arizona Diamondbacks","4500","Northwest League","South","1993","SS","Diamondbacks/Hops-Logo.png","#002d56","4460 NE Century Blvd, Hillsboro, OR 97124","45.554","-122.908","Ron Tonkin Field"
"Houston Astros","","44203","American League","AL West","1962","MLB","Astros/Astros-Logo.png","#ed6f1c","501 Crawford St, Houston, TX 77002","29.757","-95.356","Minute Maid Park"
"Hudson Valley Renegades","Tampa Bay Rays","4494","New York?Penn League","McNamara","1994","SS","Rays/Renegades-Logo.png","#0a7aac","1500 NY-9D, Wappingers Falls, NY 12590","41.528","-73.961","Dutchess Stadium"
"Idaho Falls Chukars","Kansas City Royals","3400","Pioneer League","North","1940","R","Royals/Chukars-Logo.png","#a62256","900 Jim Garchow Way, Idaho Falls, ID 83402","43.505","-112.038","Melaleuca Field"
"Indianapolis Indians","Pittsburgh Pirates","14230","International League","West","1902","AAA","Pirates/Indians-Logo.png","#e51837","501 W Maryland St, Indianapolis, IN 46225","39.765","-86.168","Victory Field"
"Inland Empire 66ers","Los Angeles Angels","8000","California League","South","1987","A+","Angels/66ers-Logo.png","#f04a24","280 S E St, San Bernardino, CA 92401","34.097","-117.296","San Manuel Stadium"
"Iowa Cubs","Chicago Cubs","11500","Pacific Coast League","American Northern","1969","AAA","Cubs/Iowa-Logo.png","#005596","1 Line Dr, Des Moines, IA 50309","41.580","-93.616","Principal Park"
"Jackson Generals","Arizona Diamondbacks","6000","Southern League","North","1998","AA","Diamondbacks/Generals-Logo.jpg","#00713d","4 Fun Place, Jackson, TN 38305","35.678","-88.771","The Ballpark at Jackson"
"Jacksonville Jumbo Shrimp","Miami Marlins","11000","Southern League","South","1962","AA","Marlins/JumboShrimp-Logo.png","#007dc3","301 A Philip Randolph Blvd, Jacksonville, FL 32202","30.325","-81.644","Baseball Grounds of Jacksonville"
"Johnson City Cardinals","St. Louis Cardinals","3800","Appalachian League","West","1937","R","Cardinals/JC-Logo.png","#e31837","199-131 Legion St, Johnson City, TN 37601","36.318","-82.341","TVA Credit Union Stadium"
"Jupiter Hammerheads","Miami Marlins","6871","Florida State League","South","1940","A+","Marlins/Hammerheads-Logo.png","#0081c6","4751 Main St, Jupiter, FL 33458","26.890","-80.117","Roger Dean Stadium"
"Kane County Cougars","Arizona Diamondbacks","10923","Midwest League","Western","1991","A","Diamondbacks/Cougars-Logo.png","#0c233f","34w002 Cherry Ln, Geneva, IL 60134","41.880","-88.282","Northwestern Medicine Field"
"Kannapolis Cannon Ballers","Chicago White Sox","4700","South Atlantic League","Northern","1995","A","WhiteSox/Ballers-Logo.png","#003574","250 W B St, Kannapolis, NC 28081","35.497","-80.626","Intimidators Stadium"
